CourseId,Type,Identifier,Topic Name,Topic Link,Entity Type
40355,Lecture,1,0.6107,No link available,CARDINAL
40355,Lecture,1,0.8344,No link available,CARDINAL
40355,Lecture,1,0.5964,No link available,CARDINAL
40355,Lecture,1,Epoch 3/150,No link available,ORG
40355,Lecture,1,0.7119,No link available,CARDINAL
40355,Lecture,1,0.6510,No link available,CARDINAL
40355,Lecture,1,0.6776,No link available,CARDINAL
40355,Lecture,1,0.6484,No link available,CARDINAL
40355,Lecture,1,0.6315,No link available,CARDINAL
40355,Lecture,1,0.6888,No link available,CARDINAL
40355,Lecture,1,0.6358,No link available,CARDINAL
40355,Lecture,1,0.6602,No link available,CARDINAL
40355,Lecture,1,0.6254,No link available,CARDINAL
40355,Lecture,1,0.6810,No link available,CARDINAL
40355,Lecture,1,0.6086,No link available,CARDINAL
40355,Lecture,1,0.6615,No link available,CARDINAL
40355,Lecture,1,0.6121,No link available,CARDINAL
40355,Lecture,1,0.6745,No link available,CARDINAL
40355,Lecture,1,10/150,No link available,CARDINAL
40355,Lecture,1,0.6072,No link available,CARDINAL
40355,Lecture,1,0.5269,No link available,CARDINAL
40355,Lecture,1,0.7096,No link available,CARDINAL
40355,Lecture,1,9.26,No link available,CARDINAL
40355,Lecture,1,9.27,No link available,CARDINAL
40355,Lecture,1,"Model
Task
Turn",No link available,PRODUCT
40355,Lecture,1,9.28,No link available,CARDINAL
40355,Lecture,1,the Bag-of-Words Model,No link available,ORG
40355,Lecture,1,9.29,No link available,CARDINAL
40355,Lecture,1,Vocabulary,No link available,PERSON
40355,Lecture,1,"0,1",No link available,CARDINAL
40355,Lecture,1,zero,No link available,CARDINAL
40355,Lecture,1,1 0,No link available,CARDINAL
40355,Lecture,1,• Not,No link available,PRODUCT
40355,Lecture,1,9.30,No link available,CARDINAL
40355,Lecture,1,The ‘Curse of Dimensionality,No link available,WORK_OF_ART
40355,Lecture,1,Task 5,No link available,CARDINAL
40355,Lecture,1,9.31,No link available,CARDINAL
40355,Lecture,1,"Word Vector Requirements
• Dense",No link available,WORK_OF_ART
40355,Lecture,1,• Capture,No link available,ORG
40355,Lecture,1,• E.g.,No link available,PRODUCT
40355,Lecture,1,• Synonyms,No link available,PERSON
40355,Lecture,1,Answer,No link available,ORG
40355,Lecture,1,Louis Pasteur,No link available,PERSON
40355,Lecture,1,9.32,No link available,CARDINAL
40355,Lecture,1,9.33,No link available,CARDINAL
40355,Lecture,1,six,No link available,CARDINAL
40355,Lecture,1,NYC,No link available,LOC
40355,Lecture,1,9.34,No link available,CARDINAL
40355,Lecture,1,2012,No link available,DATE
40355,Lecture,1,Thomas Mikolov,No link available,PERSON
40355,Lecture,1,Microsoft,No link available,ORG
40355,Lecture,1,• Released,No link available,PRODUCT
40355,Lecture,1,2013,No link available,DATE
40355,Lecture,1,Google,No link available,ORG
40355,Lecture,1,Word2vec,No link available,CARDINAL
40355,Lecture,1,• Word,No link available,PRODUCT
40355,Lecture,1,100-500,No link available,CARDINAL
40355,Lecture,1,100 billion,No link available,MONEY
40355,Lecture,1,• Unsupervised,No link available,ORG
40355,Lecture,1,9.35,No link available,CARDINAL
40355,Lecture,1,9.36,No link available,CARDINAL
40355,Lecture,1,Computing,No link available,WORK_OF_ART
40355,Lecture,1,• Result,No link available,ORG
40355,Lecture,1,100s,No link available,CARDINAL
40355,Lecture,1,• Find,No link available,PRODUCT
40355,Lecture,1,9.37,No link available,CARDINAL
40355,Lecture,1,ten,No link available,CARDINAL
40355,Lecture,1,US,No link available,GPE
40355,Lecture,1,9.38,No link available,CARDINAL
40355,Lecture,1,"Approaches
Skip-gram",No link available,PERSON
40355,Lecture,1,CBOW,No link available,PRODUCT
40355,Lecture,1,Google News,No link available,ORG
40355,Lecture,1,• spaCy,No link available,PRODUCT
40355,Lecture,1,294,No link available,CARDINAL
40355,Lecture,1,• Various,No link available,LOC
40355,Lecture,1,Harry Potter,No link available,PERSON
40355,Lecture,1,LOTR,No link available,PERSON
40355,Lecture,1,9.39,No link available,CARDINAL
40355,Lecture,1,the skip-gram,No link available,PRODUCT
40355,Lecture,1,"Skip-gram
",No link available,WORK_OF_ART
40355,Lecture,1,• Skip-gram,No link available,PRODUCT
40355,Lecture,1,9.40,No link available,CARDINAL
40355,Lecture,1,Ten,No link available,CARDINAL
40355,Lecture,1,5-grams,No link available,QUANTITY
40355,Lecture,1,Monet,No link available,ORG
40355,Lecture,1,9.41,No link available,CARDINAL
40355,Lecture,1,Neural Network,No link available,ORG
40355,Lecture,1,1/2,No link available,CARDINAL
40355,Lecture,1,9.42,No link available,CARDINAL
40355,Lecture,1,Softmax,No link available,NORP
40355,Lecture,1,K,No link available,ORG
40355,Lecture,1,ezj∑K,No link available,NORP
40355,Lecture,1,Euler,No link available,ORG
40355,Lecture,1,up to 1,No link available,CARDINAL
40355,Lecture,1,Task 9,No link available,PRODUCT
40355,Lecture,1,9.43,No link available,CARDINAL
40355,Lecture,1,2/2,No link available,CARDINAL
40355,Lecture,1,9.44,No link available,CARDINAL
40355,Lecture,1,9.45,No link available,CARDINAL
40355,Lecture,1,Hidden,No link available,GPE
40355,Lecture,1,• We,No link available,PRODUCT
40355,Lecture,1,9.46,No link available,CARDINAL
40355,Lecture,1,+ Germany,No link available,GPE
40355,Lecture,1,Berlin,No link available,GPE
40355,Lecture,1,− ocean +,No link available,FAC
40355,Lecture,1,https://graceavery.com/word2vec-fish-music-bass/,No link available,PERSON
40355,Lecture,1,9.47,No link available,CARDINAL
40355,Lecture,1,• All,No link available,PRODUCT
40355,Lecture,1,9.48,No link available,CARDINAL
40355,Lecture,1,9.49,No link available,CARDINAL
40355,Lecture,1,9.50,No link available,CARDINAL
40355,Lecture,1,CBOW Word2vec,No link available,PRODUCT
40355,Lecture,1,9.51,No link available,CARDINAL
40355,Lecture,1,Pros & Cons,No link available,ORG
40355,Lecture,1,9.52,No link available,CARDINAL
40355,Lecture,1,Enhancements & Optimizations,No link available,ORG
40355,Lecture,1,New York,No link available,GPE
40355,Lecture,1,Elvis Presley,No link available,WORK_OF_ART
40355,Lecture,1,9.53,No link available,CARDINAL
40355,Lecture,1,Using Word Vectors,No link available,WORK_OF_ART
40355,Lecture,1,"nlp(""dog",No link available,NORP
40355,Lecture,1,token1,No link available,ORG
40355,Lecture,1,token2,No link available,GPE
40355,Lecture,1,1.0,No link available,CARDINAL
40355,Lecture,1,0.80168545,No link available,CARDINAL
40355,Lecture,1,0.2815437,No link available,CARDINAL
40355,Lecture,1,9.55,No link available,CARDINAL
40355,Lecture,1,300,No link available,CARDINAL
40355,Lecture,1,PCA,No link available,ORG
40355,Lecture,1,9.56,No link available,CARDINAL
40355,Lecture,1,0.7453,No link available,CARDINAL
40355,Lecture,1,0.5586,No link available,CARDINAL
40355,Lecture,1,AI,No link available,ORG
40355,Lecture,1,9.57,No link available,CARDINAL
40355,Lecture,1,2-grams,No link available,QUANTITY
40355,Lecture,1,3-grams,No link available,QUANTITY
40355,Lecture,1,• Open,No link available,LOC
40355,Lecture,1,Meta (Facebook,No link available,ORG
40355,Lecture,1,Abkhazian,No link available,NORP
40355,Lecture,1,9.58,No link available,CARDINAL
40355,Lecture,1,Input Representation,No link available,FAC
40355,Lecture,1,9.59,No link available,CARDINAL
40355,Lecture,1,"The Task
Binary Text Classification",No link available,PRODUCT
40355,Lecture,1,Apple,No link available,ORG
40355,Lecture,1,Burger,No link available,ORG
40355,Lecture,1,Italian,No link available,NORP
40355,Lecture,1,9.60,No link available,CARDINAL
40355,Lecture,1,GloVe,No link available,PRODUCT
40355,Lecture,1,"400,000",No link available,CARDINAL
40355,Lecture,1,50,No link available,CARDINAL
40355,Lecture,1,6 Billion,No link available,MONEY
40355,Lecture,1,0.58289 0.36258,No link available,ORG
40355,Lecture,1,0.34065,No link available,CARDINAL
40355,Lecture,1,0.36416,No link available,CARDINAL
40355,Lecture,1,0.22479,No link available,CARDINAL
40355,Lecture,1,4.022,No link available,CARDINAL
40355,Lecture,1,0.068716,No link available,CARDINAL
40355,Lecture,1,1.0746,No link available,MONEY
40355,Lecture,1,0.2475,No link available,CARDINAL
40355,Lecture,1,0.15244 0.41,No link available,CARDINAL
40355,Lecture,1,0.15702 0.0077935,No link available,CARDINAL
40355,Lecture,1,0.41989 0.2183,No link available,CARDINAL
40355,Lecture,1,0.24187,No link available,CARDINAL
40355,Lecture,1,0.67703,No link available,CARDINAL
40355,Lecture,1,0.33676,No link available,CARDINAL
40355,Lecture,1,0.29949 0.44603,No link available,CARDINAL
40355,Lecture,1,0.38127 0.0,No link available,CARDINAL
40355,Lecture,1,38097,No link available,DATE
40355,Lecture,1,0.37709,No link available,CARDINAL
40355,Lecture,1,0.34285,No link available,CARDINAL
40355,Lecture,1,0.77089 0.60848 0.15698 0.029356,No link available,MONEY
40355,Lecture,1,0.37183,No link available,CARDINAL
40355,Lecture,1,9.61,No link available,CARDINAL
40355,Lecture,1,Split,No link available,PERSON
40355,Lecture,1,9.62,No link available,CARDINAL
40355,Lecture,1,Hidden Layer,No link available,PERSON
40355,Lecture,1,30,No link available,CARDINAL
40355,Lecture,1,more than two,No link available,CARDINAL
40355,Lecture,1,Dense(32,No link available,ORG
40355,Lecture,1,Dense(1,No link available,PERSON
40355,Lecture,1,9.63,No link available,CARDINAL
40355,Lecture,1,Compiling and Training our Model,No link available,WORK_OF_ART
40355,Lecture,1,1/1,No link available,CARDINAL
40355,Lecture,1,0.7393,No link available,CARDINAL
40355,Lecture,1,0.5000,No link available,CARDINAL
40355,Lecture,1,0.7169,No link available,CARDINAL
40355,Lecture,1,0.2776,No link available,CARDINAL
40355,Lecture,1,1.0000,No link available,CARDINAL
40355,Lecture,1,• Training,No link available,PRODUCT
40355,Lecture,1,• Accuracy,No link available,PERSON
40355,Lecture,1,• Techniques,No link available,PRODUCT
40355,Lecture,1,9.64,No link available,CARDINAL
40355,Lecture,1,Spaghetti,No link available,ORG
40355,Lecture,1,Tesla,No link available,ORG
40355,Lecture,1,new_X,No link available,GPE
40355,Lecture,1,0.62762314,No link available,CARDINAL
40355,Lecture,1,0.34521136,No link available,CARDINAL
40355,Lecture,1,9.65,No link available,CARDINAL
40355,Lecture,1,9.66,No link available,CARDINAL
40355,Lecture,1,"Training
Paragraph Vector – Distributed Memory",No link available,WORK_OF_ART
40355,Lecture,1,• PV-DM,No link available,PRODUCT
40355,Lecture,1,• Paragraph Matrix: Embedding,No link available,ORG
40355,Lecture,1,• Context Window,No link available,PRODUCT
40355,Lecture,1,• Concatenation/Averaging: Combines,No link available,WORK_OF_ART
40355,Lecture,1,• Prediction: Output,No link available,WORK_OF_ART
40355,Lecture,1,9.67,No link available,CARDINAL
40355,Lecture,1,Vector Databases for (Document,No link available,WORK_OF_ART
40355,Lecture,1,Vector Databases:,No link available,WORK_OF_ART
40355,Lecture,1,https://medium.com/@tenyks_blogger/vector-,No link available,ORG
40355,Lecture,1,• Optimized,No link available,WORK_OF_ART
40355,Lecture,1,• API,No link available,PRODUCT
40355,Lecture,1,• Examples:,No link available,PRODUCT
40355,Lecture,1,Annoy (,No link available,PERSON
40355,Lecture,1,Spotify,No link available,FAC
40355,Lecture,1,Weaviate,No link available,PERSON
40355,Lecture,1,"https://medium.com/@tenyks_blogger/vector-databases-unlock-the-potential-of-your-data-5bd4950bd72
",No link available,PERSON
40355,Lecture,1,9.68,No link available,CARDINAL
40355,Lecture,1,9.69,No link available,CARDINAL
40355,Lecture,1,Chapters 5,No link available,DATE
40355,Lecture,1,Neural Networks,No link available,ORG
40355,Lecture,1,• The Tenyks Blogger,No link available,WORK_OF_ART
40355,Lecture,1,9.70,No link available,CARDINAL
40355,Lecture,1,Hobson Lane,No link available,PERSON
40355,Lecture,1,Cole Howard,No link available,PERSON
40355,Lecture,1,Hannes Max Hapke,No link available,PERSON
40355,Lecture,1,Natural Language Processing in Action,No link available,WORK_OF_ART
40355,Lecture,1,2019,No link available,DATE
40355,Lecture,1,"Neural Networks
Introduction
Neural Networks",No link available,ORG
40355,Lecture,1,"Network Architecture
Applying the Trained Model
Document Vectors",No link available,WORK_OF_ART
40355,Lecture,2,"René Witte
Introduction
Text Mining in Science
Text Mining Applications
Language Technology",No link available,ORG
40355,Lecture,2,NLP,No link available,ORG
40355,Lecture,2,"Language Models
Tokenization
Sentence Splitting
Morphology
Part-of-Speech",No link available,WORK_OF_ART
40355,Lecture,2,"Tagging
Chunking and Parsing
Named Entity Recognition
Entity Linking
Pipelines
Applications
Example: Scientific
Literature Mining
Mining Health Documents
Summary
Notes and Further
Reading",No link available,WORK_OF_ART
40355,Lecture,2,8.1,No link available,CARDINAL
40355,Lecture,2,"Text Mining
COMP 474/6741",No link available,ORG
40355,Lecture,2,Winter 2024,No link available,DATE
40355,Lecture,2,Department of Computer Science,No link available,ORG
40355,Lecture,2,Software Engineering,No link available,ORG
40355,Lecture,2,Concordia University,No link available,ORG
40355,Lecture,2,8.2,No link available,CARDINAL
40355,Lecture,2,3,No link available,CARDINAL
40355,Lecture,2,4,No link available,CARDINAL
